file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1020,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.HOLD_BIT\"",bithold);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1021,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.ALMRESET_BIT\"",bitalmreset);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1022,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.CANCEL_BIT\"",bitcancel);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1023,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AB_START\"",abstart);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1040,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.AB_START\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1042,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.AB_START\"",true);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1045,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.START_BIT\"",0);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1054,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.HOLD_RESET\"",1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1056,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.HOLD_BIT\"",0);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1065,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.AL_RESET\"",1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1067,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.ALMRESET_BIT\"",0);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1076,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.CANCEL\"",1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1078,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.CANCEL_BIT\"",0);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1186,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP  + \"".cmd.AUTOSEL.SEL1\"",cur_value[1]);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1187,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP  + \"".cmd.AUTOSEL.SEL2\"",cur_value[2]);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1188,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP  + \"".cmd.AUTOSEL.SEL3\"",cur_value[3]);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1189,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP  + \"".cmd.AUTOSEL.SEL4\"",cur_value[4]);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,1190,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP  + \"".cmd.AUTOSEL.SEL5\"",cur_value[5]);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3539,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701A_ZV.PVLAST\"",ST1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3540,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3541,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701A_MVD_I.PVLAST\"",PV1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3542,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701A_MVD_TOT.PVLAST\"",TOT1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3608,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701B_ZV.PVLAST\"",ST1);",VALID,룰 검사 기준 부합
